2021-01-15 04:25:58 |WARN  |http-nio-8110-exec-7 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@68a32cff (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 04:25:58 |WARN  |http-nio-8110-exec-8 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@69c8f35c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 06:01:12 |WARN  |com.alibaba.nacos.client.naming.updater |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/list?app=service-edu&healthyOnly=false&namespaceId=public&clientIP=127.0.1.1&serviceName=DEFAULT_GROUP%40%40service-vod&udpPort=48684&encoding=UTF-8 from 39.102.46.244
2021-01-15 21:05:38 |WARN  |com.alibaba.nacos.client.naming.updater |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/list?app=service-edu&healthyOnly=false&namespaceId=public&clientIP=127.0.1.1&serviceName=DEFAULT_GROUP%40%40service-vod&udpPort=48684&encoding=UTF-8 from 39.102.46.244
2021-01-15 21:05:39 |WARN  |com.alibaba.nacos.naming.beat.sender |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.152.143%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8110%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-edu%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=service-edu&serviceName=DEFAULT_GROUP%40%40service-edu&encoding=UTF-8&namespaceId=public from 39.102.46.244
2021-01-15 21:05:40 |WARN  |http-nio-8110-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2fd39ee3 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 21:05:40 |WARN  |http-nio-8110-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@33f6a219 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 21:05:40 |WARN  |http-nio-8110-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@795865bd (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 21:05:40 |WARN  |http-nio-8110-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@5e5f6994 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 21:05:40 |WARN  |http-nio-8110-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@583ffe2c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 21:05:40 |WARN  |http-nio-8110-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@76fb86ca (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 21:05:40 |WARN  |http-nio-8110-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4cb47025 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 21:05:40 |WARN  |http-nio-8110-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6982a3ee (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 21:05:40 |WARN  |http-nio-8110-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4eebfe6c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 21:05:40 |WARN  |http-nio-8110-exec-1 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@648cfcad (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 21:05:47 |WARN  |com.alibaba.nacos.naming.beat.sender |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.152.143%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8110%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-edu%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=service-edu&serviceName=DEFAULT_GROUP%40%40service-edu&encoding=UTF-8&namespaceId=public from 39.102.46.244
2021-01-15 21:05:51 |WARN  |com.alibaba.nacos.client.naming.updater |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/list?app=service-edu&healthyOnly=false&namespaceId=public&clientIP=127.0.1.1&serviceName=DEFAULT_GROUP%40%40service-vod&udpPort=48684&encoding=UTF-8 from 39.102.46.244
2021-01-15 21:05:55 |WARN  |com.alibaba.nacos.naming.beat.sender |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.152.143%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8110%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-edu%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=service-edu&serviceName=DEFAULT_GROUP%40%40service-edu&encoding=UTF-8&namespaceId=public from 39.102.46.244
2021-01-15 21:50:05 |WARN  |http-nio-8110-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@23158d31 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 21:50:10 |WARN  |http-nio-8110-exec-4 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@fee55d2 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 21:51:45 |WARN  |com.alibaba.nacos.naming.beat.sender |HttpClient.java:95 |com.alibaba.nacos.client.naming |failed to request http://39.102.46.244:8848/nacos/v1/ns/instance/beat?beat=%7B%22cluster%22%3A%22DEFAULT%22%2C%22ip%22%3A%22192.168.152.143%22%2C%22metadata%22%3A%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D%2C%22period%22%3A5000%2C%22port%22%3A8110%2C%22scheduled%22%3Afalse%2C%22serviceName%22%3A%22DEFAULT_GROUP%40%40service-edu%22%2C%22stopped%22%3Afalse%2C%22weight%22%3A1.0%7D&app=service-edu&serviceName=DEFAULT_GROUP%40%40service-edu&encoding=UTF-8&namespaceId=public from 39.102.46.244
2021-01-15 22:37:08 |WARN  |http-nio-8110-exec-2 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@6ab249ec (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 23:22:45 |WARN  |http-nio-8110-exec-3 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@294c3255 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-01-15 23:40:46 |WARN  |http-nio-8110-exec-5 |PoolBase.java:179 |com.zaxxer.hikari.pool.PoolBase |HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@278cd127 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
